father,mother,gender,child
78.5,67,male,73.2
78.5,67,female,69.2
78.5,67,female,69
78.5,67,female,69
75.5,66.5,male,73.5
75.5,66.5,male,72.5
75.5,66.5,female,65.5
75.5,66.5,female,65.5
75,64,male,71
75,64,female,68
75,64,male,70.5
75,64,male,68.5
75,64,female,67
75,64,female,64.5
75,64,female,63
75,58.5,male,72
75,58.5,male,69
75,58.5,male,68
75,58.5,female,66.5
75,58.5,female,62.5
75,58.5,female,62.5
74,68,female,69.5
74,68,male,76.5
74,68,male,74
74,68,male,73
74,68,male,73
74,68,female,70.5
74,68,female,64
74,66.5,female,70.5
74,66.5,female,68
74,66.5,female,66
74.5,66,female,66
74,65.5,female,65.5
74,62,male,74
74,62,male,70
74,62,female,68
74,62,female,67
74,62,female,67
74,62,female,66
74,62,female,63.5
74,62,female,63
74,61,female,65
73,67,male,71
73,67,female,62
73,67,male,68
73,67,male,67
73,66.5,male,71
73,66.5,male,70.5
73,66.5,female,66.7
73,65,male,72
73,65,male,70.5
73,65,male,70.2
73,65,male,70.2
73,65,male,69.2
73,65,female,68.7
73,65,female,66.5
73,65,female,64.5
73,65,female,63.5
73,64.5,male,74
73,64.5,male,73
73,64.5,male,71.5
73,64.5,male,62.5
73,64.5,female,66.5
73,64.5,female,62.3
73,64,female,66
73,64,female,64.5
73,64,female,64
73.2,63,female,62.7
72.7,69,male,73.2
72.7,69,male,73
72.7,69,male,72.7
72.7,69,female,70
72.7,69,female,69
72.7,69,female,68.5
72.7,69,female,68
72.7,69,female,66
72,68,male,73
72,68,female,68.5
72,68,female,68
72,67,male,73
72,67,male,71
72,67,female,67
72,65,male,74.2
72,65,male,70.5
72,65,male,69.5
72,65,female,66
72,65,female,65.5
72,65,female,65
72,65,female,65
72,65.5,female,65.5
72,64,female,66
72,64,female,63
72,63,male,70.5
72,63,male,70.5
72,63,male,69
72,63,female,65
72,63,female,63
72,63,male,69
72,63,male,67
72,63,female,63
72,63,male,73
72,63,male,67
72,63,female,70.5
72,63,female,70
72,63,female,66.5
72,63,female,63
72.5,63.5,female,67.5
72.5,63.5,female,67.2
72.5,63.5,female,66.7
72,62,female,64
72.5,62,male,71
72.5,62,male,70
72.5,62,male,70
72.5,62,female,66
72.5,62,female,65
72.5,62,female,65
72,62,male,74
72,62,male,72
72,62,male,69
72,62,female,67.5
72,62,female,63.5
72,62,male,72
72,62,male,71.5
72,62,male,71.5
72,62,male,70
72,62,female,68
72,61,female,65.7
71,69,male,78
71,69,male,74
71,69,male,73
71,69,male,72
71,69,female,67
71,67,male,73.2
71,67,male,73
71,67,male,69
71,67,female,67
71,66,male,70
71,66,female,67
71,66,female,67
71,66,female,66.5
71,66,male,70
71,66,male,69
71,66,male,68.5
71,66,female,66
71,66,female,64.5
71,66,female,63
71,66,male,71
71,66,female,67
71,66,male,76
71,66,male,72
71,66,male,71
71,66,male,66
71,66,female,66
71.7,65.5,male,70.5
71,65.5,male,72
71,65.5,male,72
71,65.5,male,71
71,65.5,male,69
71,65.5,female,66
71,65.5,female,65
71.5,65.5,male,73
71.5,65.5,female,65.2
71.5,65,male,68.5
71.5,65,male,67.7
71,65,male,68
71,65,male,68
71,65,female,62
71,64,female,68
71,64,female,68
71,64,female,67.5
71,64,female,66.5
71,64,female,66.5
71,64,female,66
71,64,female,65.5
71,64,female,65
71.7,64.5,male,72
71.7,64.5,male,71
71.7,64.5,male,70.5
71.7,64.5,female,67
71,64,male,68
71,64,male,68
71,64,male,68
71.5,64.5,male,72
71.5,64.5,male,71
71.5,64.5,male,70
71.5,64.5,female,66
71.5,64.5,female,64.5
71.5,64.5,female,64.5
71.5,64.5,female,62
71,64.5,male,73
71,64.5,female,62
71.2,63,female,67.5
71.2,63,female,64.5
71,63.5,male,71
71,63.5,male,67
71,63.5,female,66
71,63.5,female,65
71,63.5,female,63.5
71,63,male,71
71,63,male,70
71,63,male,70
71,63,male,64
71,63,female,65
71,63,female,65
71,63,female,64
71,63,female,63
71,63,female,63
71,63,male,71
71,63,male,71
71,63,male,70
71,63,female,63.5
71,62,male,71
71,62,male,70
71,62,female,64.5
71,62,female,62.5
71,62,female,61.5
71,62,male,72
71,62,male,70.5
71,62,male,70.5
71,62,female,64.5
71,62,female,60
71,62.5,male,70
71,62.5,female,64
71,62.5,female,64
71,62.5,female,64
71,62.5,female,62.5
71,62,male,70.5
71,62,male,70
71,62,male,69
71,62,male,69
71,62,male,66
71,62,female,64.5
71,62,female,64
71,61,female,62
71,58,male,71.5
71,58,male,69
70,69,male,71
70,69,male,70
70,69,male,69
70,69,female,69
70,69,male,70
70,69,male,68.7
70,69,female,68
70,69,female,66
70,69,female,64
70,69,female,62
70,68,male,75
70,67,male,70
70,67,male,69
70,67,female,66
70,67,female,64
70,67,female,60
70,67,female,67.5
70,66.5,male,73
70,66.5,male,72
70,66.5,male,72
70,66.5,male,66.5
70,66.5,female,69.2
70,66.5,female,67.2
70,66.5,female,66.5
70,66.5,female,66
70,66.5,female,66
70,66.5,female,64.2
70,66.5,female,63.7
70.5,65,male,72
70.5,65,male,70.2
70.5,65,male,69
70.5,65,male,68.5
70.5,65,female,68
70.5,65,female,65
70.5,65,female,61.5
70.5,65,female,61
70.5,65,female,61
70,65,male,73
70,65,male,72
70,65,male,70.5
70,65,male,65
70,65,male,65
70,65,female,64.5
70,65,female,63
70,65,female,62
70,65,male,67
70,65,male,65
70,65,female,64.5
70,65,female,62.5
70,65,female,62.5
70,65,male,70
70,65,male,70
70,65,female,67
70,65,female,65
70,65,female,65
70,65,female,63
70,65,male,79
70,65,male,75
70,65,male,71
70,65,female,69
70,65,female,67
70,65,female,65.7
70,65,female,62
70,65,male,73
70,65,male,72.5
70,65,female,65
70,65,male,69
70,65,male,69
70,64.7,male,72
70,64.7,male,70
70,64.7,male,68.7
70,64.7,female,66.5
70,64.7,female,65.5
70,64.7,female,64.7
70,64.7,female,64.5
70,64,male,70.7
70,64,male,70
70,64,male,68
70,64,male,67
70,64,male,66
70,64,male,65
70,64,female,67
70,64,male,70
70,64,male,68
70,64,male,66.7
70,64,female,65.5
70,64.2,male,72
70,64.2,male,70
70,64.2,female,62.5
70,64.2,female,61.2
70,64.2,female,60.1
70.5,64,male,74
70.5,64,male,69.5
70.5,64,male,69
70.5,64,male,68
70.5,64,male,68
70.5,64,male,68
70.5,64,female,65.5
70.5,64,female,65
70.5,64.5,female,60
70,64,male,68
70,64,female,65
70,64,female,64
70,64,female,62
70,64,male,71
70,64,male,70
70,64,male,70
70,64,male,70
70,64,male,69.5
70,64,male,68.5
70,64,female,69
70,64,female,65
70,64,female,64
70,63.7,male,70
70,63.7,male,67
70,63.7,male,65.5
70,63.7,female,63.7
70,63.7,female,63.2
70,63.7,female,62.5
70,63.7,female,62.2
70,63.7,female,61
70.5,63,male,70
70.5,63,male,68.5
70.5,63,female,65.5
70.5,63,female,63.5
70.5,63,male,72.5
70.5,63,male,69
70.5,63,male,67
70.5,63,female,64.5
70.5,63,female,64
70,63.5,male,71
70,63.5,male,67.5
70,63.5,female,67.5
70,63.5,female,63.5
70,63,male,68
70,63,male,67
70,63,female,63.7
70,63,female,62
70,63,male,70
70,63,male,66.5
70,63,female,62
70,63,female,61
70.5,62,male,72
70.5,62,male,70
70.5,62,male,69.5
70.5,62,male,69.5
70.5,62,male,68
70.5,62,female,65
70.5,62,female,64
70.5,62,female,63
70.3,62.7,male,70.7
70.3,62.7,male,69.7
70.3,62.7,male,69.2
70.3,62.7,male,65.2
70.3,62.7,female,64
70.3,62.7,female,63.5
70.3,62.7,female,63.2
70.5,62,male,72
70.5,62,male,72
70.5,62,female,60
70,61,male,71.2
70,61,male,67
70,60,male,67
70,60,male,64.5
70,60,female,65
70,60,female,63
70,60,female,65
70,60,female,65
70,58.5,male,71.5
70,58.5,male,64.5
70,58.5,female,63
70,58,male,72
70,58,male,66
70,58,female,66
70,58,female,65
70,58,female,63
69,68.5,male,75
69,68.5,male,71
69,68.5,male,70
69,68.5,female,66
69,68.5,female,66
69,68.5,female,65.5
69,68.5,female,65
69,68.5,female,65
69,68.5,female,64
69,68.5,female,64
69,67,female,64
69,66,male,73
69,66,male,72
69,66,male,71.7
69,66,male,71.5
69,66,female,65.5
69,66,female,65
69,66,female,62.7
69,66,female,62.5
69,66,male,71.2
69,66,male,71
69,66,male,70
69,66.7,male,75
69,66.7,male,74
69,66.7,male,72
69,66.7,male,68.5
69,66,male,70
69,66,male,68.5
69,66,male,68
69,66,female,65
69,66,female,63
69,66,female,62.5
69,66.5,male,73
69,66.5,male,71
69,66.5,male,70.5
69,66.5,male,70.5
69,66.5,male,67
69,66.5,male,66
69,66.5,female,61
69.5,66.5,male,70.5
69.5,66.5,male,67.5
69.5,66.5,female,64.5
69.5,66.5,female,64
69,66.5,male,71
69,66.5,female,68.5
69,66.5,female,67.5
69,66.5,female,66
69,66.5,female,63
69,66.5,female,63
69.5,66,male,71
69.5,66,male,71
69.5,66,male,70.5
69.5,66,male,70.5
69.5,66,female,66.5
69.5,66,female,65.5
69.5,66,female,64.5
69,66,male,73
69,66,male,72
69,66,male,69
69,66,male,69
69,66,female,66.5
69,66,female,65.5
69,66,female,65.5
69,66,female,65
69,66,female,64
69,65,male,70
69,65,male,68.5
69,65,male,67
69,65,female,65
69,65,female,64
69,65,female,63.5
69,65,female,61
69.5,64.5,male,69.7
69.5,64.5,male,68
69.5,64.5,male,60
69.5,64.5,female,65.2
69.5,64.5,female,64.5
69.5,64.5,female,63.7
69.5,64.5,female,60
69.2,64,male,71.7
69.2,64,male,66.5
69.2,64,female,65
69.2,64,female,63.5
69,63.5,female,65.5
69,63,male,69
69,63,female,67.5
69,63,female,63.5
69,63,male,72
69,63,male,73
69,63,male,70
69,63,male,70
69,63,male,64
69,63,female,66
69,63,female,62
69,63.5,male,70.5
69,63.5,male,67
69,63.5,male,66
69,63.5,female,65
69,63.5,female,63
69,63.5,female,62
69,63.5,female,61
69,63.5,male,70.5
69,63.5,female,63.7
69,63.5,female,63
69.7,62,female,62.5
69.5,62,male,73
69.5,62,male,72
69.5,62,male,69
69,62,male,73
69,62,male,71
69,62,male,71
69,62,male,69
69,62,female,63
69.5,62,male,72
69.5,62,male,70
69.5,62,male,67.8
69.5,62,female,65.2
69.5,62,female,64.7
69.5,62,female,64.5
69.5,62,female,63.5
69.5,62,female,63.5
69.5,62,female,62.5
69.5,62,female,62
69.5,62,female,61.5
69,62.5,male,71
69,62.5,male,70
69,62.5,male,70
69,62.5,male,69
69,62.5,female,63.5
69,62.5,female,62.5
69,62.5,female,62.5
69,62.5,female,62
69,62,male,72
69,62,male,68
69,62,female,66
69,62,female,66
69.5,61,male,70
69.5,61,male,69.5
69.5,61,male,69
69.5,61,female,63
69.5,61,female,62
69,61,male,68
69,61,male,68
69,61,male,67.5
69,61,male,64
69,61,male,63
69,61,male,63
69,61,female,63.5
69,61,female,62
69,61,female,62
69,60,male,70.5
69,60,female,68
69,60,female,62.5
69,60,male,69
69,60,male,66
69,60,female,61.7
69,60,female,60.5
69,60.5,male,69.5
68.7,70.5,male,71
68.7,70.5,female,61.7
68.5,67,male,73
68.5,67,male,71
68.5,67,female,67
68.5,66.5,male,70
68.5,66.5,male,69
68.5,66.5,male,69
68.5,66.5,male,68.7
68.5,66.5,male,68.5
68.5,66.5,male,68.5
68.5,66.5,male,68
68.5,66.5,male,68
68.5,66.5,male,68
68.5,66.5,male,66.2
68.5,66.5,female,63.2
68,65,male,67.5
68,65,male,66
68,65.5,male,66
68,65.5,female,64
68,65.5,male,71.7
68,65.5,male,71.5
68,65.5,male,70.7
68,65.5,male,65.5
68,65.5,female,66.5
68,65.5,female,65.2
68,65.5,female,61.5
68,65,male,72
68,65,male,72
68,65,female,68
68,65,female,66
68.5,65,male,69.2
68.5,65,male,68
68.5,65,male,66
68.5,65,male,66
68.5,65,female,62
68.5,65,female,61.5
68.5,65,female,61
68.5,65,female,60
68.5,65,male,72
68.5,65,male,70.5
68.5,65,male,68.7
68.5,65,male,68.5
68.5,65,male,67.7
68.5,65,female,64
68.5,65,female,63.5
68.5,65,female,63
68,64,male,71
68,64,male,68
68,64,male,68
68,64,male,67
68,64,female,65
68,64,female,64
68,64,female,63
68,64,female,63
68,64,female,62
68,64,female,61
68,64,male,66
68,64,male,63
68,64,female,65.5
68,64,female,62
68,64,male,71.2
68,64,male,71.2
68,64,male,69
68,64,male,68.5
68,64,female,62.5
68,64.5,female,62
68,64,male,69
68,64,male,67
68,64,male,66
68,64,female,66
68,64,female,66
68,64,female,65
68,64,female,65
68,64,female,65
68,64,female,64
68,64,female,63
68,63,male,70.5
68,63,male,70
68,63,male,68
68,63,male,66
68,63,male,66
68,63,female,66
68,63,female,62
68,63,female,61.5
68.5,63.5,male,73.5
68.5,63.5,male,70
68.5,63.5,male,69.5
68.5,63.5,female,65.5
68,63,male,67
68,63,male,70
68,63,male,68
68,63,female,64.5
68,63,female,64
68,63,male,71
68,63,male,68
68,63,male,66
68,63,male,65.5
68,63,male,65
68,63,female,63
68,63,female,62
68,63,female,62
68,63,male,67
68,63,male,67
68,63,male,66
68,63,female,64
68,63,female,63.5
68,63,female,61
68.5,63.5,male,68.2
68,63,male,70
68.2,63.5,male,70
68.2,63.5,male,69
68.2,63.5,male,67
68.2,63.5,male,65.5
68.2,63.5,female,64.5
68,62.5,male,68.5
68.7,62,male,67.7
68.7,62,female,61.7
68,62.5,male,66.5
68,61,male,68.5
68,61,male,68
68,61,male,64
68,61,female,63.5
68,61,female,63
68,60.2,male,66.7
68,60,male,64
68,60,female,61
68,60,female,61
68,60,female,60
68,60,female,60
68,60,female,60
68,60,female,56
68,60,male,67.5
68,60,male,67
68,60,male,66.5
68,60,female,60
68.5,59,male,69
68,59,male,68
68,59,male,65
68,59,male,64.7
68,59,male,64
68,59,male,64
68,59,male,63
68,59,female,65
68,59,female,65
68,59,female,62
68,59,female,61
67,66.2,male,72.7
67,66.2,male,72.7
67,66.2,male,71.5
67,66.2,female,65.5
67,66.2,female,63.5
67,66.5,male,71
67,66,male,73
67,66,male,71
67,66,male,70.7
67,66,male,70
67,66,male,69
67,66,female,68
67,66,female,65.5
67,66,female,62
67,65,male,69.7
67,65,male,67.5
67,65,female,65.5
67,65,female,65
67,65,female,64.5
67,65,female,63.5
67,65.5,male,70
67,65.5,male,69
67,65.5,female,65.5
67,65.5,female,65.5
67,65.5,female,63
67,65.5,male,70
67,65.5,male,67.7
67,65.5,female,63
67,65.5,female,60
67,65,male,65
67,65,female,62
67,65,female,62
67.5,65,male,71
67.5,65,male,69
67.5,65,female,64
67.5,65,female,64
67.5,65,female,63
67.5,65,female,63
67.5,65,female,63
67.5,65,female,63
67.5,65,female,63
67.5,65,female,62.5
67.5,65,female,62
67,64,male,71.5
67,64,male,70
67,64,male,67
67,64,male,67
67,63.5,male,71
67,63.5,male,70.2
67,63.5,male,69.2
67,63.5,male,68.5
67,63.5,male,68
67,63.5,male,67
67,63.5,male,65.5
67,63.5,female,63.5
67,63,male,69
67,63,male,68
67,63,female,63
67.5,62,male,70
67.5,62,male,69.5
67.5,62,male,69
67.5,62,male,68.5
67.5,62,female,66
67,61,male,67
66,67,male,70.5
66,67,male,70.5
66,67,male,67
66,67,male,66
66,67,male,66
66,67,female,62
66,67,female,62
66,67,female,61.5
66,67,male,72
66,67,male,65
66,67,male,65
66,67,female,67
66,67,female,64
66,67,female,64
66,67,female,62
66,67,female,60
66,67,female,60
66,66,male,66
66,66,male,65
66,66,female,67
66,66,female,66.5
66,66,female,65.5
66,66,male,72
66,66,male,68
66,66,female,66
66,66,female,65
66,66,female,62
66,66,female,61
66.5,65,male,68.7
66.5,65,male,68.5
66.5,65,male,66.5
66.5,65,male,64.5
66.5,65,female,62.5
66.5,65,female,60.5
66.5,65,female,60.5
66.5,65,female,57.5
66,65.5,male,72
66,65.5,male,71
66,65.5,male,67
66,65.5,female,66
66,65.5,female,65
66,63,male,70
66,63.5,female,64.5
66,63.5,female,62
66.5,63,male,67.2
66.5,63,male,67
66.5,63,male,65
66.5,63,female,65
66.5,63,female,65
66.5,63,female,63
66.5,62.5,male,70
66.5,62.5,male,68
66.5,62.5,female,63.5
66.5,62.5,female,62.5
66.5,62.5,female,62.5
66.5,62.5,female,62.5
66.5,62.5,female,62.5
66,61.5,male,70
66,60,male,68
66,60,male,67
66,60,male,65
66,60,female,60
66,60,male,65
66,59,male,68
66,59,male,67
66,59,male,66.5
66,59,male,66
66,59,male,65.7
66,59,male,65.5
66,59,male,65
66,59,female,65
66,59,female,64
66,59,female,63
66,59,female,62
66,59,female,61
66,59,female,60
66,59,female,58
66,59,female,57
65,67,male,66.5
65,67,male,66
65,67,male,66
65,67,female,65
65,67,female,63
65,66,male,63
65,66,female,63
65,66,female,63
65,66,female,60
65,66,male,67
65,66,male,66
65,66,male,65
65,66,female,65
65,66,female,61
65,65,male,69
65,65,male,68
65,65,male,68
65,65,female,65
65,65,female,65
65,65,female,62
65,65,female,62
65,65,female,61
65,65,female,59
65,65.5,male,70.7
65,65.5,female,65.5
65,65,male,69.2
65,65,male,69
65,65,male,68
65,65,male,67.7
65,65,female,64.5
65,65,female,60.5
65,64,male,67
65,64,male,67
65,64,female,64
65,64,female,64
65,64,female,62.5
65,64,female,60.5
65,63,male,70
65,63,female,63
65,63,male,66
65,63,male,66
65,63,female,63
65.5,63,male,71
65.5,63,male,71
65.5,63,male,69
65.5,63,female,63.5
65.5,60,male,68
65.5,60,male,68
65.5,60,male,67
65.5,60,male,67
65.5,60,female,62
64,64,male,71.5
64,64,male,68
64,64,female,65.5
64,64,female,64
64,64,female,62
64,64,female,62
64,64,female,61
64,64,male,70.5
64,64,male,68
64,64,female,67
64,64,female,65
64,64,female,64
64,64,female,64
64,64,female,60
64,63,male,64.5
64,60,male,66
64,60,female,60
63,63.5,female,68.5
63,63.5,female,63.5
62,66,male,64
62,66,female,62
62,66,female,61
62.5,63,male,66.5
62.5,63,female,57
